Name;Gelenk 1;;;;;;;;Gelenk 2;;;;;;;;Gelenk 3;;;;;;;;Gelenk 4;;;;;;;;EE-Transformation (phi_N_E);;;EE-FG (Basis-KS);;;;;;;;;Weitere Eigenschaften;;Herkunft Struktursynthese;;;;
;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;Typ;beta;b;alpha;a;theta;d;offset;phix_NE;phiy_NE;phiz_NE;vx0;vy0;vz0;wx0;wy0;wz0;phix0;phiy0;phiz0;Positionsbeeinflussendes Gelenk;Gelenkfolge;Manuell;Roboter;3T0R-PKM;3T1R-PKM;Gelenkfolge
S4RRRR1;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;0;1;1;1;0;1;1;3;;0;0;1;0;0
S4RRRR1V1;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;0;1;1;1;0;1;1;2;RRU;0;0;0;0;1
S4RRRR2;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;;0;0;1;0;0
S4RRRR2V1;R;0;0;0;0;q1;d1;0;R;0;0;0;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;RUR;0;0;0;0;1
S4RRRR3;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;;0;0;1;0;0
S4RRRR3V1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;0;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;0;1;1;3;URR;0;0;0;0;1
S4RRRR4;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4RRRR4V1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;UU;0;0;0;0;1
S4RRRR4V2;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;0;a3;q3;d3;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;RRU;0;0;0;0;1
S4RRRR5;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4RRRR5V1;R;0;0;0;0;q1;d1;0;R;0;0;pi/2;0;q2;0;0;R;0;0;pi/2;0;q3;0;0;R;0;0;0;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;SR;0;0;0;0;1
S4RRRR6;R;0;0;0;0;q1;d1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;a3;q3;d3;0;R;0;0;pi/2;a4;q4;d4;0;0;0;0;1;1;1;1;1;1;1;1;1;3;;0;0;1;0;0
S4RRRR6V1;R;0;0;0;0;q1;d1;0;R;0;0;alpha2;a2;q2;d2;0;R;0;0;pi/2;0;q3;0;0;R;0;0;pi/2;0;q4;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;RS;0;0;0;0;1
